========================================================================================================================
MÚSICA                                   | ARTISTA                        | GÊNERO               | ANO   
Laugh Now Cry Later                      | Drake                          | Hip-Hop/Rap          | 2025  
Life Is Good                             | Drake                          | Hip-Hop/Rap          | 2024  
Money in the Grave                       | Drake                          | Hip-Hop/Rap          | 2019  
Nonstop                                  | Drake                          | Hip-Hop/Rap          | 2022  
The Box                                  | Drake                          | Hip-Hop/Rap          | 2019  
Toosie Slide                             | Drake                          | Hip-Hop/Rap          | 2020  
Jimmy Cooks (feat. 21 Savage)            | Drake, 21 Savage               | Hip-Hop/Rap          | 2022  
Girls Want Girls (with Lil Baby)         | Drake, Lil Baby                | Hip-Hop/Rap          | 2021  
Don’t Matter To Me                       | Drake, Michael Jackson         | Hip-Hop/Rap          | 2018  
STEP BACK (FEAT. MIKE DIMES)             | Dro Kenji, Mike Dimes          | Trap                 | 2018  
Bodies                                   | Drowning Pool                  | Música               | 2001  
Tear Away                                | Drowning Pool                  | Nu Metal             | 2001  
New Rules                                | Dua Lipa                       | Pop                  | 2017  
Small Town Boy                           | Dustin Lynch                   | Country              | 1984  
Hotel California - 2013 Remaster         | Eagles                         | Rock                 | 1976  
Headstrong                               | Earshot                        | Rock                 | 2002  
Afterglow                                | Ed Sheeran                     | Pop                  | 2020  
Baby One More Time - Recorded at Spoti   | Ed Sheeran                     | Pop                  | 2017  
Bad Habits - Acoustic Version            | Ed Sheeran                     | Pop                  | 2021  
Bad Habits - Acoustic Version            | Ed Sheeran                     | Pop                  | 2021  
Castle on the Hill - Acoustic            | Ed Sheeran                     | Pop                  | 2017  
Don't                                    | Ed Sheeran                     | Pop                  | 2014  
Eraser                                   | Ed Sheeran                     | Pop                  | 2017  
Happier                                  | Ed Sheeran                     | Pop                  | 2017  
I Don't Care - Acoustic                  | Ed Sheeran                     | Pop                  | 2019  
I See Fire                               | Ed Sheeran                     | Pop                  | 2013  
I See Fire                               | Ed Sheeran                     | Pop                  | 2013  
New Man                                  | Ed Sheeran                     | Pop                  | 2017  
Perfect                                  | Ed Sheeran                     | Pop                  | 2017  
Perfect - Acoustic                       | Ed Sheeran                     | Pop                  | 2017  
Photograph                               | Ed Sheeran                     | Pop                  | 2014  
Photograph                               | Ed Sheeran                     | Pop                  | 2014  
Shape of You                             | Ed Sheeran                     | Pop                  | 2017  
Shape of You - Acoustic                  | Ed Sheeran                     | Pop                  | 2017  
Shivers - Acoustic Version               | Ed Sheeran                     | Pop                  | 2021  
Shivers - Acoustic Version               | Ed Sheeran                     | Pop                  | 2021  
Sing                                     | Ed Sheeran                     | Pop                  | 2014  
Sing                                     | Ed Sheeran                     | Pop                  | 2014  
Take It Back                             | Ed Sheeran                     | Pop                  | 2014  
The A Team                               | Ed Sheeran                     | Pop                  | 2010  
Thinking out Loud                        | Ed Sheeran                     | Pop                  | 2014  
Thinking out Loud                        | Ed Sheeran                     | Pop                  | 2014  
I Don't Care (with Justin Bieber)        | Ed Sheeran & Justin Bieber,    | Pop                  | 2017  
South of the Border (feat. Camila Cabe   | Ed Sheeran, Camila Cabello,    | Pop                  | 2019  
2step (feat. Chefin)                     | Ed Sheeran, Chefin             | Pop                  | 2022  
Beautiful People (feat. Khalid)          | Ed Sheeran, Khalid             | Pop                  | 2019  
Shadow in Your Smile                     | Eddie Gold                     | Rock                 | 1966  
My City                                  | Egzod, Anna Yvette             | Electronic/Dance     | 2018  
Universe                                 | Egzod, Tanjent                 | Electronic/Downtem   | 2018  
Beauty Of Annihilation                   | Elena Siegman, Kevin Sherwoo   | Electronic/Soundtr   | 2011  
Sou um Milagre                           | Eliana Ribeiro                 | Sertanejo            | 2022  
Tiro Ao Álvaro                           | Elis Regina, Adoniran Barbos   | MPB                  | 1994  
Godzilla                                 | Eminem                         | Hip-Hop/Rap          | 2020  
Houdini                                  | Eminem                         | Hip-Hop/Rap          | 2024  
Lose Yourself                            | Eminem                         | Hip-Hop/Rap          | 2002  
Lose Yourself                            | Eminem                         | Hip-Hop/Rap          | 2002  
Mockingbird                              | Eminem                         | Hip-Hop/Rap          | 2005  
Mockingbird                              | Eminem                         | Hip-Hop/Rap          | 2005  
Not Afraid                               | Eminem                         | Hip-Hop/Rap          | 2010  
Rap God                                  | Eminem                         | Hip-Hop/Rap          | 2013  
Sing For The Moment                      | Eminem                         | Hip-Hop/Rap          | 2004  
Stan                                     | Eminem                         | Hip-Hop/Rap          | 2000  
The Real Slim Shady                      | Eminem                         | Hip-Hop/Rap          | 2000  
The Real Slim Shady                      | Eminem                         | Hip-Hop/Rap          | 2000  
Venom                                    | Eminem                         | Hip-Hop/Rap          | 2018  
When I'm Gone                            | Eminem                         | Hip-Hop/Rap          | 2005  
When I'm Gone                            | Eminem                         | Hip-Hop/Rap          | 2005  
Without Me                               | Eminem                         | Hip-Hop/Rap          | 2002  
Without Me                               | Eminem                         | Hip-Hop/Rap          | 2002  
Is This Love ('09) (feat. 50 Cent)       | Eminem, 50 Cent                | Hip-Hop/Rap          | 2022  
Superman                                 | Eminem, Dina Rae               | Hip-Hop/Rap          | 2002  
Bitch Please II                          | Eminem, Dr. Dre, Snoop Dogg,   | Hip-Hop/Rap          | 2000  
Till I Collapse                          | Eminem, Nate Dogg              | Hip-Hop/Rap          | 2002  
SUBEME LA RADIO                          | Enrique Iglesias, ,            | Pop                  | 2017  
Bailando - Brazilian Version             | Enrique Iglesias, Luan Santa   | Sertanejo            | 2018  
Cake                                     | Entre Linhas, Kuririn, Kwell   | Trap                 | -     
Cidade Inteira                           | Eric Land, Xand Avião          | Forró/Piseiro        | 2020  
Fools Gold                               | Essy, Star Party               | Pop                  | 2018  
Bring Me To Life                         | Evanescence                    | Rock                 | 2003  
Bring Me to Life                         | Evanescence                    | Rock                 | 2003  
Bring Me to Life                         | Evanescence                    | Rock                 | 2003  
Everlasting Shine (Black Clover Openin   | F.B. Piano Anime               | Pop                  | 2020  
Ghetto (feat. Thara)                     | Fabolous, Thara                | Rap                  | 2004  
Love Me Again                            | Fandom                         | Pop                  | 2013  
All The Way Up                           | Fat Joe                        | Música               | 2016  
Dancing Shoes                            | Fedde Le Grand, Josh Cumbee    | House/Pop            | 2020  
Ainda Gosto Dela                         | Felipe Amorim                  | Forró/Piseiro        | 2021  
Coisas Que Eu Sei                        | Felipe Amorim                  | Forró/Piseiro        | 2023  
Eu Só Quero Tu                           | Felipe Amorim                  | Forró/Piseiro        | 2024  
Spoiler do Paraíso                       | Felipe Amorim                  | Forró/Piseiro        | 2024  
Toca o Trompete                          | Felipe Amorim                  | Forró/Piseiro        | 2023  
Tenho que Me Decidir                     | Felipe Amorim, , ,             | Forró/Piseiro        | 2023  
Debaixo do Cobertor                      | Felipe Amorim, João Gomes      | Forró/Piseiro        | 2022  
Debaixo do Cobertor                      | Felipe Amorim, João Gomes      | Forró/Piseiro        | 2022  
Alcontece - Ao Vivo                      | Felipe Araújo                  | Sertanejo            | 2016  
Mentira - Ao Vivo                        | Felipe Araújo                  | Sertanejo            | 2019  
Atrasadinha - Ao Vivo                    | Felipe Araújo, Ferrugem        | Sertanejo            | 2018  
A Mala É Falsa - Ao Vivo                 | Felipe Araújo, Henrique & Ju   | Sertanejo            | 2017  
A Mala É Falsa - Ao Vivo                 | Felipe Araújo, Henrique & Ju   | Sertanejo            | 2017  
Chave Cópia - Ao Vivo                    | Felipe Araújo, Jorge & Mateu   | Sertanejo            | 2017  
Grandes Coisas - Ao Vivo                 | Fernandinho                    | Gospel               | 2017  
Único - Live                             | Fernandinho                    | Gospel               | 2023  
Pela Manhã Te Buscarei (Temprano Yo Te   | Fernandinho, Paula Santos      | Gospel               | -     
Trap Queen                               | Fetty Wap                      | Trap                 | 2014  
Trap Queen                               | Fetty Wap                      | Música               | 2014  
Corte Americano                          | Filipe Ret, L7NNON,            | Hip-Hop/Rap          | 2021  
Paralyzer                                | Finger Eleven                  | Rock                 | 2007  
Blood's Thicker Than Water               | Five Finger Death Punch        | Música               | -     
Yeshua                                   | Flavinho, Frei Gilson          | Católica             | 2019  
Hola (feat. Maluma)                      | Flo Rida, Maluma               | Pop                  | 2017  
May We All                               | Florida Georgia Line,          | Country              | 2016  
Black Catcher (From "Black Clover") [O   | Fonzi M                        | Anime Soundtrack/P   | 2020  
Boku no Sensou / My War (From "Attack    | Fonzi M                        | Anime Soundtrack     | 2020  
Guren no Yumiya (From "Attack on Titan   | Fonzi M                        | Anime Soundtrack/J   | 2016  
JUSTadICE (From "Black Clover") [Openi   | Fonzi M                        | Anime Soundtrack     | 2021  
Jiyuu no Tsubasa (From "Attack on Tita   | Fonzi M                        | Anime Soundtrack,    | 2016  
Red Swan (From "Attack on Titan Season   | Fonzi M                        | Anime Soundtrack     | 2018  
Shinzou wo Sasageyo! - From "Attack on   | Fonzi M                        | Anime Soundtrack     | 2017  
All My Life                              | Foo Fighters                   | Rock                 | 2002  
All My Life                              | Foo Fighters                   | Rock                 | 2002  
Best of You                              | Foo Fighters                   | Rock                 | 2005  
Everlong                                 | Foo Fighters                   | Rock                 | 1997  
My Hero                                  | Foo Fighters                   | Rock                 | 1997  
The Pretender                            | Foo Fighters                   | Rock                 | 2007  
That's What Love Is                      | For King & Country             | Música               | 2018  
Take Me Out                              | Franz Ferdinand                | Indie Rock/Post-Pu   | 2004  
Terra Seca                               | Fraternidade São João Paulo    | Sertanejo            | 2019  
Jardim                                   | Fraternidade São João Paulo    | Sertanejo            | 2021  
Banquete                                 | Fraternidade São João Paulo    | Sertanejo            | -     
Terra Seca - Ao Vivo                     | Fraternidade São João Paulo    | Sertanejo            | 2019  
Acalma Minha Tempestade                  | Frei Gilson                    | Católica             | 2019  
Deixa Deus Sonhar em Ti (Ao Vivo)        | Frei Gilson                    | Católica             | 2021  
Eu Seguirei                              | Frei Gilson                    | Católica             | 2015  
Eu Te Levantarei                         | Frei Gilson                    | Católica             | 2018  
De Ti Preciso (Ao Vivo)                  | Frei Gilson, Bruna Ramos       | Católica             | 2021  
A Maior Alegria do Mundo (Ao Vivo)       | Frei Gilson, Bruna Ramos, So   |                      | 2021  
De Ti Preciso (Ao Vivo)                  | Frei Gilson, Bruna Ramos, So   | Católica             | 2021  
De Ti Preciso (Ao Vivo)                  | Frei Gilson, Bruna Ramos, So   |                      | 2021  
Deixa Deus Sonhar em Ti (Ao Vivo)        | Frei Gilson, Bruna Ramos, So   |                      | 2021  
Eu Seguirei (Ao Vivo)                    | Frei Gilson, Bruna Ramos, So   |                      | 2024  
Eu Te Levantarei (Ao Vivo)               | Frei Gilson, Bruna Ramos, So   |                      | 2024  
Nunca Mais Vou Te Deixar (Ao Vivo)       | Frei Gilson, Bruna Ramos, So   |                      | 2021  
Não Há Mais Vendaval (Ao Vivo)           | Frei Gilson, Bruna Ramos, So   |                      | 2021  
Por Que Choras (Ao Vivo)                 | Frei Gilson, Bruna Ramos, So   |                      | 2020  
Sim, Toquei em Teu Manto (Ao Vivo)       | Frei Gilson, Bruna Ramos, So   |                      | 2023  
Tu És o Centro (Ao Vivo)                 | Frei Gilson, Bruna Ramos, So   |                      | 2023  
Vem Me Batizar Com Teu Fogo (Ao Vivo)    | Frei Gilson, Bruna Ramos, So   |                      | 2024  
Vem Queimar o Nosso Coração & Vem Me B   | Frei Gilson, Bruna Ramos, So   |                      | 2019  
No Silêncio do Altar (Ao Vivo)           | Frei Gilson, Frei Silvio, Br   |                      | 2023  
Pescador de Homens (Ao Vivo)             | Frei Gilson, Frei Silvio, So   | Católica             | 2018  
Pescador de Homens (Ao Vivo)             | Frei Gilson, Frei Silvio, So   |                      | 2018  
Solidão do Tabernáculo (Ao Vivo)         | Frei Gilson, Frei Silvio, So   |                      | 2024  
Salvador (Ao Vivo)                       | Frei Gilson, Juninho Cassimi   |                      | 2023  
Livre Serei (Ao Vivo)                    | Frei Gilson, Lohane Dias, So   |                      | 2023  
Acalma Minha Alma (Ao Vivo)              | Frei Gilson, Som do Monte      |                      | 2023  
Acalma Minha Tempestade (Ao Vivo)        | Frei Gilson, Som do Monte      |                      | 2018  
Colo de Mãe (Ao Vivo)                    | Frei Gilson, Som do Monte      |                      | 2018  
Crescer Na Intimidade (Ao Vivo)          | Frei Gilson, Som do Monte      |                      | 2023  
Dias Difíceis (Ao Vivo)                  | Frei Gilson, Som do Monte      |                      | 2023  
Fogo do Céu (Ao Vivo)                    | Frei Gilson, Som do Monte      |                      | 2023  
Meu Coração Está Pronto Pra Te Amar (A   | Frei Gilson, Som do Monte      |                      | 2023  
Minha Família É uma Benção (Ao Vivo)     | Frei Gilson, Som do Monte      |                      | 2023  
Ninguém Jamais Contemplou (Ao Vivo)      | Frei Gilson, Som do Monte      |                      | 2018  
Não Vou Me Abater (Ao Vivo)              | Frei Gilson, Som do Monte      |                      | 2024  
Pai Eu Quero Viver em Ti (Ao Vivo)       | Frei Gilson, Som do Monte      |                      | 2021  
Rainha da Paz (Ao Vivo)                  | Frei Gilson, Som do Monte      |                      | 2023  
Redenção (Ao Vivo)                       | Frei Gilson, Som do Monte      |                      | 2018  
Santo dos Santos (Ao Vivo)               | Frei Gilson, Som do Monte      |                      | 2023  
Sem Medo Eu Vou (Ao Vivo)                | Frei Gilson, Som do Monte      |                      | 2023  
Teu Abraço Conhecerei (Ao Vivo)          | Frei Gilson, Som do Monte      |                      | 2018  
Tua Graça Me Basta (Ao Vivo)             | Frei Gilson, Som do Monte      |                      | 2023  
A Maior Alegria do Mundo (Ao Vivo)       | Frei Gilson, Som do Monte,     | Católica             | 2021  
Nunca Mais Vou Te Deixar (Ao Vivo)       | Frei Gilson, Som do Monte,     | Católica             | 2021  
A Maior Alegria do Mundo (Ao Vivo)       | Frei Gilson, Som do Monte, B   | Católica             | 2021  
Hemorrhage (In My Hands)                 | Fuel                           | Post-Grunge          | 2000  
Hemorrhage (In My Hands)                 | Fuel                           | Música               | 2000  
A Change Is Gonna Come - Live from BBC   | Fugees                         | 音乐                   | 1996  
Last Breath                              | Future                         | Hip-Hop/Rap          | 2015  
Mask Off                                 | Future                         | Hip-Hop/Rap          | 2017  
Sextape                                  | Future                         | Hip-Hop/Rap          | 2016  
WAIT FOR U                               | Future                         | Hip-Hop/Rap          | 2022  
Mask Off (feat. Kendrick Lamar) - Remi   | Future, Kendrick Lamar         | Hip-Hop/Rap          | 2017  
Poppin' Them Thangs                      | G-Unit                         | Rap                  | 2004  
Alphabets                                | GZA                            | Rap                  | 2008  
Breaker, Breaker                         | GZA                            | Rap                  | 1999  
Chora Boy                                | Gabriel Diniz                  | Forró/Piseiro        | 2016  
Erro Preferido (Imagina A Cena) - Ao V   | Gabriel Diniz                  | Forró/Piseiro        | 2018  
Hoje Eu Só Vim pra Dançar                | Gabriel Diniz                  | Forró/Piseiro        | 2016  
Hora de Dar Tchau                        | Gabriel Diniz                  | Forró/Piseiro        | 2016  
Loucaça - Ao Vivo                        | Gabriel Diniz                  | Forró/Piseiro        | 2018  
Magrinho Delicioso - Ao Vivo             | Gabriel Diniz                  | Forró/Piseiro        | 2016  
Sabadão                                  | Gabriel Diniz                  | Forró/Piseiro        | 2016  
Slowmotion                               | Gabriel Diniz                  | Forró/Piseiro        | 2016  
Vai Brincando De Amar - Ao Vivo          | Gabriel Diniz                  | Forró/Piseiro        | 2018  
Vida De Solteiro - Ao Vivo               | Gabriel Diniz                  | Forró/Piseiro        | 2018  
Amor de Copo - Ao Vivo                   | Gabriel Diniz, Cristiano Ara   | Forró/Piseiro        | 2016  
Paraquedas                               | Gabriel Diniz, Jorge & Mateu   | Forró/Piseiro        | 2017  
No Aquecimento - Ao Vivo                 | Gabriel Diniz, Léo Santana     | Forró/Piseiro        | 2017  
A Casa Chora - Ao Vivo                   | Gabriel Diniz, Maiara & Mara   | Forró/Piseiro        | 2018  
Acabou Acabou (Quando Eu Digo Que Acab   | Gabriel Diniz, Wesley Safadã   | Forró/Piseiro        | 2017  
Eu Navegarei                             | Gabriela Rocha                 | Sertanejo            | 2018  
No Money                                 | Galantis                       | Pop                  | 2016  
Full Clip                                | Gang Starr                     | Rap                  | 1999  
Work                                     | Gang Starr                     | Hip Hop/Rap          | 2016  
Above The Clouds                         | Gang Starr, Inspectah Deck     | Rap                  | 2006  
Out Of My Mind                           | Gentrammel                     | Sertanejo            | 2024  
Budapest                                 | George Ezra                    | Folk Pop             | 2013  
Dreamers                                 | Glude                          | Pop                  | 2018  
Bulletproof                              | Godsmack                       | Rock                 | 2018  
Bulletproof                              | Godsmack                       | Rock                 | 2018  
I Stand Alone                            | Godsmack                       | Rock                 | 2002  
Roxo                                     | Gorilla                        | Sertanejo            | 2024  
A Little Of This                         | Grand Puba                     | Hip Hop/Rap          | 1995  
Boulevard of Broken Dreams               | Green Day                      | Rock                 | 2005  
Boulevard of Broken Dreams               | Green Day                      | Rock                 | 2005  
Holiday / Boulevard of Broken Dreams     | Green Day                      | Rock                 | 2005  
Ooh Ahh (My Life Be Like) (feat. Toby    | Grits, TobyMac                 | Christian Hip Hop/   | 2002  
Ooh Ahh (My Life Be Like) (feat. Toby    | Grits, TobyMac                 | Christian Hip Hop/   | 2002  
Ooh Ahh (My Life Be Like) [feat. Tobym   | Grits, TobyMac                 | Christian Rap        | 2002  
Peter Pan                                | Groove Delight, Samantha Mac   | Eletrônica/Dance     | 2019  
Coração Partido (Corazón Partío) - Ao    | Grupo Menos É Mais             | Sertanejo            | 2018  
Foi Bom Mas Foi Ontem                    | Grupo Menos É Mais,            | Sertanejo            | 2023  
Lapada Dela - Ao Vivo                    | Grupo Menos É Mais,            | Pagode               | 2023  
Deixa Acontecer                          | Grupo Revelação                | Sertanejo            | 2009  
Só Seu - Acústico                        | Gui Amaral                     | Sertanejo            | 2017  
Daí?                                     | Guilherme & Santiago           | Sertanejo            | 2022  
Sweet Child O' Mine                      | Guns N                         | Rock                 | 1987  
Com ou Sem Mim - Ao Vivo                 | Gustavo Mioto                  | Sertanejo            | 2019  
Com ou Sem Mim - Ao Vivo                 | Gustavo Mioto                  | Sertanejo            | 2019  
Despedida de Casal - Ao Vivo             | Gustavo Mioto                  | Sertanejo            | 2020  
Anti-Amor - Ao Vivo                      | Gustavo Mioto, Jorge e Mateu   | Sertanejo            | 2017  
Anti-Amor - Ao Vivo                      | Gustavo Mioto, Jorge e Mateu   | Sertanejo            | 2017  
Plaquinha de Aviso - Ao Vivo             | Gustavo Mioto, Wesley Safadã   | Forró/Piseiro        | 2020  
A Gente Fez Amor - Ao Vivo               | Gusttavo Lima                  | Sertanejo            | 2019  
Borbulhas de Amor (Tenho um Coração)     | Gusttavo Lima                  | Sertanejo            | 2015  
Café e Amor - Ao Vivo                    | Gusttavo Lima                  | Sertanejo            | 2020  
Carreira Solo - Ao Vivo                  | Gusttavo Lima                  | Sertanejo            | 2019  
Carta Branca                             | Gusttavo Lima                  | Sertanejo            | 2015  
De Menina pra Mulher - Ao Vivo           | Gusttavo Lima                  | Sertanejo            | 2020  
Ela É Demais                             | Gusttavo Lima                  | Sertanejo            | 2015  
Espetinho - Ao Vivo                      | Gusttavo Lima                  | Sertanejo            | 2020  
Eu Não Iria - Ao Vivo                    | Gusttavo Lima                  | Sertanejo            | 2018  
Ficha Limpa                              | Gusttavo Lima                  | Sertanejo            | 2021  
Fui Fiel                                 | Gusttavo Lima                  | Sertanejo            | 2014  
Homem de Família - Ao Vivo               | Gusttavo Lima                  | Sertanejo            | 2016  
Jejum de Amor                            | Gusttavo Lima                  | Sertanejo            | 2016  
Milu                                     | Gusttavo Lima                  | Sertanejo            | 2019  
Milu - Ao Vivo                           | Gusttavo Lima                  | Sertanejo            | 2012  
Que Pena Que Acabou (Ao Vivo)            | Gusttavo Lima                  | Sertanejo            | 2018  
Que Pena Que Acabou - Ao Vivo            | Gusttavo Lima                  | Sertanejo            | 2018  
Saudade da Minha Vida - Ao Vivo          | Gusttavo Lima                  | Sertanejo            | 2023  
Seu Veneno                               | Gusttavo Lima                  | Sertanejo            | 2015  
Nem Dormindo Consigo Te Esquecer         | Gusttavo Lima, Bruno & Marro   | Sertanejo            | 2021  
Olha Amor                                | Gusttavo Lima, Jorge & Mateu   | Sertanejo            | 2010  
Tá Faltando Eu                           | Gusttavo Lima, Jorge & Mateu   | Sertanejo            | 2010  
Mala dos Porta-Mala - Ao Vivo            | Gusttavo Lima, Matheus & Kau   | Sertanejo            | 2019  
Let Me Go (with Alesso, Florida Georgi   | Hailee Steinfeld, , ,          | Hip-Hop/Rap          | 2017  
Colors                                   | Halsey                         | Pop                  | 2015  
She Got Me Like                          | Halvorsen                      | Sertanejo            | 2015  
First Step                               | Hans Zimmer                    | Pop/Variado          | 2014  
Fully Alive                              | Hawk Nelson                    | Música               | 2009  
Escalada pra Jogar                       | Henrique & Diego               | Sertanejo            | 2010  
Ficadinha - Ao Vivo                      | Henrique & Diego               | Sertanejo            | 2010  
Ressaca de Amor Passa - Ao Vivo          | Henrique & Diego               | Sertanejo            | 2010  
Raspão (feat. Simone & Simaria) - Ao V   | Henrique & Diego,              | Sertanejo            | 2010  
Suíte 14 (Mister Jam Remix)              | Henrique & Diego,              | Sertanejo            | 2010  
Suíte 14 - Ao Vivo                       | Henrique & Diego,              | Sertanejo            | 2010  
Vidinha de Balada - Ao Vivo              | Henrique & Juliano             | Sertanejo            | 2010  
Lips of an Angel                         | Hinder                         | Música               | 2005  
Too Sweet                                | Hozier                         | Blues/Soul           | 2024  
Casalzão (Ao Vivo)                       | Hugo e Heitor, Ana Castela     | Sertanejo            | 2024  
Não Fala Não pra Mim                     | Humberto & Ronaldo,            | Sertanejo            | 1996  
Cruzeiro da Revoada                      | Hungria, MC Ryan SP            | Hip-Hop/Rap          | 2022  
Fired Up                                 | Hush                           | Sertanejo            | 2025  
It Was A Good Day                        | Ice Cube                       | Música               | 2021  
You Know How We Do It                    | Ice Cube                       | Gangsta Rap/Hip-Ho   | 2006  
You Know How We Do It                    | Ice Cube                       | Rap                  | 2006  
Quando A Onda Bater                      | Igow, Mc Pedrinho,             | Funk                 | 2023  
Battle Cry                               | Imagine Dragons                | Pop                  | 2014  
Believer                                 | Imagine Dragons                | Pop                  | 2017  
Blank Space/Stand By Me - Live From Sp   | Imagine Dragons                | Pop                  | 2021  
Bones                                    | Imagine Dragons                | Pop                  | 2021  
Children of the Sky (a Starfield song)   | Imagine Dragons                | Pop                  | 2023  
Demons                                   | Imagine Dragons                | Pop                  | 2012  
I Bet My Life - Riot Games Remix         | Imagine Dragons                | Pop                  | 2014  
It's Time                                | Imagine Dragons                | Pop                  | 2012  
It's Time                                | Imagine Dragons                | Pop                  | 2012  
Natural                                  | Imagine Dragons                | Pop                  | 2018  
On Top Of The World                      | Imagine Dragons                | Pop                  | 2012  
Radioactive                              | Imagine Dragons                | Pop                  | 2012  
Radioactive                              | Imagine Dragons                | Pop                  | 2012  
Warriors                                 | Imagine Dragons                | Pop                  | 2014  
Warriors                                 | Imagine Dragons                | Pop                  | 2014  
Whatever It Takes                        | Imagine Dragons                | Pop                  | 2017  
Bad Boys                                 | Inner Circle                   | Música               | 1987  
Sweat (A La La La La Long)               | Inner Circle                   | Música               | 1992  
Lemonade (feat. Gunna, Don Toliver & N   | Internet Money, Gunna, Don T   | Trap                 | 2022  
Hey, Pai - Ao Vivo                       | Isadora Pompeo, Marcela Tais   | Gospel               | 2017  
Bênçãos Que Não Têm Fim (Counting My B   | Israel & New Breed             | Música               | 1980  
Bombonzinho - Ao Vivo                    | Israel & Rodolffo,             | Sertanejo            | 1980  
Você Merece Cachê - Ao Vivo              | Israel Novaes, Wesley Safadã   | Forró/Piseiro        | 2015  
3am                                      | IssoQueÉSomDeRap, Luccas Car   | Trap                 | 2018  
Middle Child                             | J. Cole                        | Música               | 2019  
No Role Modelz                           | J. Cole                        | Rap                  | 2014  
Wet Dreamz                               | J. Cole                        | Rap                  | 2014  
Work Out                                 | J. Cole                        | Rap                  | 2011  
Ni**as In Paris                          | JAY-Z, Kanye West              | Hip-Hop/Rap          | 2011  
Numb / Encore                            | JAY-Z, Linkin Park             | Rock                 | 2004  
September Song - Guitar Acoustic         | JP Cooper                      | Pop                  | 2016  
Sets Go Up (feat. Wacko)                 | JUVENILE, Wacko                | Sertanejo            | 2005  
Wonderful                                | Ja Rule, R. Kelly, Ashanti     | Rap                  | 2004  
Out West                                 | Jack Harlow                    | Hip-Hop/Rap          | 2020  
WHATS POPPIN                             | Jack Harlow                    | Hip-Hop/Rap          | 2020  
Whats Poppin                             | Jack Harlow                    | Hip-Hop/Rap          | 2020  
Better Together                          | Jack Johnson                   | Música               | 2005  
Times Like These                         | Jack Johnson                   | Acústico/Folk Rock   | 2003  
If I Ain’t Got You - James Bay Spotify   | James Bay                      | Pop/Rock             | 2020  
Let It Go - James Bay Spotify Session    | James Bay                      | Pop/Rock             | 2015  
You're Beautiful                         | James Blunt                    | Pop                  | 2005  
Heroes Tonight                           | Janji, Johnning                | Electronic/Dance     | 2015  
These Are the Nights                     | Jason De                       | Pop                  | 2014  
In My Head                               | Jason Derulo                   | Pop/R&B              | 2009  
Wiggle                                   | Jason Derulo                   | Pop/R&B              | 2013  
I'm Yours                                | Jason Mraz                     | Pop                  | 2008  
I'm Yours                                | Jason Mraz                     | Pop/Outros           | 2008  
A Vintage Toast - 1940s Jazz             | Jazz Street                    | Jazz                 | 2025  
We Are                                   | Jo Cohen, Whales               | Pop/Rock             | 2016  
All of Me                                | John Legend                    | Pop/R&B              | 2013  
Free Fallin' - Live at the Nokia Theat   | John Mayer                     | Rock/Pop             | 2008  
Gravity                                  | John Mayer                     | Blues-Rock           | 2006  
Everyday Normal Guy 2                    | Jon Lajoie                     | Pop                  | 2018  
Fast Car - Acoustic                      | Jonas Blue, Dakota             | Pop                  | 2015  
Rise                                     | Jonas Blue, Jack & Jack        | Pop                  | 2018  
By Your Side                             | Jonas Blue, RAYE               | Pop                  | 2016  
Mama                                     | Jonas Blue, William Singe      | Pop                  | 2017  
Com Amor Não Se Brinca - Ao Vivo         | Jonas Esticado                 | Forró/Piseiro        | 2016  
Contrário                                | Jonas Esticado                 | Forró/Piseiro        | 2018  
Com Amor Não Se Brinca - Ao Vivo         | Jonas Esticado, Jorge          | Forró/Piseiro        | 2016  
Somewhere in Between                     | Jopin, Rafael Furtado          | Sertanejo            | 2018  
Cheirosa - Ao Vivo                       | Jorge & Mateus                 | Sertanejo            | 2021  
Lance Individual                         | Jorge & Mateus                 | Sertanejo            | 2021  
Nocaute                                  | Jorge & Mateus                 | Sertanejo            | 2021  
Os Anjos Cantam                          | Jorge & Mateus                 | Sertanejo            | 2021  
Propaganda - Ao Vivo                     | Jorge & Mateus                 | Sertanejo            | 2021  
Se o Amor Tiver Lugar                    | Jorge & Mateus                 | Sertanejo            | 2021  
Terra Sem CEP - Ao Vivo                  | Jorge & Mateus                 | Sertanejo            | 2021  
Além do Horizonte                        | Jota Quest                     | Pop Rock             | 2005  
Ela Só Quer Paz                          | Jota Quest                     | Pop Rock             | 2016  
Pontos de Exclamação - Vintage Culture   | Jovem Dionisio, Vintage Cult   | Eletrônica           | 2020  
Fica Comigo / É Amor                     | João Gomes                     | Forró/Piseiro        | 2022  
Mete Um Block Nele                       | João Gomes                     | Forró/Piseiro        | 2021  
Meu Pedaço de Pecado                     | João Gomes                     | Forró/Piseiro        | 2021  
Pode Maltratar - Ao Vivo                 | João Gomes                     | Forró/Piseiro        | 2022  
Não Manda Áudio                          | João Gomes, MC Ryan SP         | Forró/Piseiro        | 2021  
Só Você e Eu / Amado - Ao Vivo           | João Gomes, Vanessa Da Mata    | Forró/Piseiro        | 2022  
Se For Amor                              | João Gomes, Vitor Fernandes    | Forró/Piseiro        | 2021  
Lençol Dobrado                           | João Gustavo e Murilo,         | Sertanejo            | 2018  
All Girls Are the Same                   | Juice WRLD                     | Hip-Hop/Rap          | 2017  
